text,label_int
"Fot the most part, this movie feels like a ""made-for-TV"" effort. The direction is ham-fisted, the acting (with the exception of Fred Gwynne) is overwrought and soapy. Denise Crosby, particularly, delivers her lines like she's cold reading them off a cue card. Only one thing makes this film worth watching, and that is once Gage comes back from the ""Semetary."" There is something disturbing about watching a small child murder someone, and this movie might be more than some can handle just for that reason. It is absolutely bone-chilling. This film only does one thing right, but it knocks that one thing right out of the park. Worth seeing just for the last 10 minutes or so.",0
Are you kidding me? The music was SO LOUD in this show I could often not even hear the dialog. And the music was nothing great. Anyone know what Jake's mother said when he walked in the door??? And the mushroom cloud looked pretty close to have so little instant devastation. Anyone research the effects of nuclear fallout before writing this one. I felt like a bunch of sit com actors were sent on location and didn't know what to do with dramatic dialog. And what does a Kansas teen know about shopping in Soho....couldn't we have had a better line here? Was bored to tears and only kept awake by the jarring blare of the over-mixed way to loud music.,0
"First of all, I don't understand why some people find this movie so anti-american. Sure, there are moments when the U.S. are accused directly, like at the segments of Youssef Chahine, Ken Loach and, to a certain extent, Mira Nair. But come on, they aren't naive accusations; instead, they are based on real and documented facts, and all the documents that the CIA released about Chile confirms this, for example.<br /><br />But returning to the film itself, what I enjoyed most on it is the variety of moods we find in it. We find children being educated for the respect of the all the people who died in the event; we find a unhappy couple that will be changed by the tragedy of that day; we find common people that have their feelings downgraded on the shadow of the events of September 11 and react differently to this, with dignity or frustration; we even find someone in the movie for who the fall of the towers grounds for a moment of real happiness.<br /><br />All these visions and others - as powerful as these or even more - make a consistent blend and help the spectator to have a glimpse about how different people spread across the world reacted to the events of September 11th. Thus, what we see is a panorama that is much more complex than whites and blacks, and this may make some people infuriated; but this is the world where we live, and in it there is no place for manicheistic ideologies, regardless of what presidents or priests may say us.<br /><br />Finally, I think it's a shame that there isn't even a release date for this movie in the United States of America. It's a shame because most of the american people is asking why this catastrophe happened, and this movie could give some clues to them. This film puts very clearly - differently of what some people of this forum think - that everything we do today will determine our future, and that the errors of the past will affect how we live today.",1
"This film gives new meaning to the term ""uneven"", giving us a few intriguing characterizations offset by an awkwardly realized plot that relies on a few well-placed stingers to deliver the majority of the thrills.<br /><br />The plot concerns a group of men who harbor a secret that has caused a curse to be visited on them in the form of a ghostly female apparation that causes death. She also may be seducing their sons.<br /><br />It is quite a spectacle to have all the notable veteran actors together in one film, but unfortunately they're not very convincing, particularly the scene where Melvyn Douglas goes off the deep end begging the others to listen to him. It's no shock then that the actors who play these same characters in their youth are terrible, especially the giggling Ricky. They deliver the worst ""gee-aren't-we-all-drunk"" scene I've ever watched.<br /><br />The movie has a few saving graces, namely Dick Smith's great ghost makeups (however misplaced they are in this film), and Alice Krige's fascinating performance as Alma/Eva. I've never read the novel that this film was taken from, but I intend to after reading some of the other reviews on this page. You don't have to have read the book, however, to realize that this is only a shadow of the original tale. There is a good story here, but it seems lost somewhere, amid exposition that shows the men having nightmares over and over again and making unsubtle references to the secret they all share. <br /><br />As it stands, it appears as if there was about half an hour of footage removed from this print, particularly near the climax. After all...how is it that Fred Astaire manages to mount an excavation of the pond so quickly? What did Gregory Bate and the kid have to do with Eva? And while we're at it...what the hell was she, anyway? Why did letting her out of the car cause the apparition to disappear? If it was an apparition, how could it have sex with two men and have them not know?<br /><br />These and other questions will never be answered, at least not by this film. Unless some restored footage is discovered somewhere, it will probably forever remain a curiosity with some oozing makeup, bizarre sex scenes and nudity, and a few attractive performances.",0
"Saying this movie is extremely hard to follow and just as frustrating to sit through is putting it very mildly. Also saying that the current available print is dark, dreary, scratchy, abysmally edited, painfully dubbed, seemingly censored and in almost unwatchable shape is also correct. This film is in dire need of a good remastering from the full, uncut, original negative and seeing how it's reasonably atmospheric (and won the director an award at the Catalonia Film Festival), it might actually be worth the trouble. Then again, maybe not... It's just impossible to tell in its current condition what kind of movie it actually is. It starts fairly interesting, if you can discount the completely senseless pre-credits opening sequence, which involves a deranged cat-killing, snake-loving little girl named Gerda. The girls mom, Carla (Mónica Randall, who should have laid off the eyeliner a little bit), splashes some gasoline around in the garage and torches the brat. Seemingly about as crazy as young Gerda, she goes to visit her estranged photographer (ex?) boyfriend Mario (""John""/Cihangir Caffari). He's on vacation from work, but so desperate to get away from Carla that he begs his employers to set him up on an assignment... any assignment. She scowls ""You'll be sorry!"" as he heads out the door. Well, Mario is assigned to photograph ""Witches Mountain"" (somewhere in the Pyrenees, I believe). Before he gets to his destination, he gets sight of a hottie on the beach named Delia (Patty Shepard) and snaps a few pictures of her taking off her bikini top. Only slightly peeved, she claims to be a single writer, the two flirt and then decide it would be a swell idea if they went on the trip up the mountain together. When they stop by her place so she can pack her bags, Mario suddenly hears loud, sinister music. Delia claims he's just hearing things.<br /><br />So the two begin their trip up the mountain, taking a stop at a local inn to spend the night. There they encounter a weird, partially-deaf, crazy-eyed innkeeper (Victor Israel) and Delia claims someone was spying on here through her window. The next day, under some trance, she wanders off up the mountain and is eventually located by Mario, who hops out of his jeep and runs after her. While he's finding out what's up, someone steals their wheels and they're forced to walk a piece, eventually finding the jeep undamaged at the foot of a small, ancient, seeming abandoned village... almost like someone was trying to intentionally lure them there. Well as we will see, that's exactly what has happened. In the village they encounter a friendly old woman named Zanta (Ana Farra) who claims she's the only person still living there and lets them stay in her home. Mario takes some pictures of the ""abandoned"" city and when he develops them they are eerily full of people. Slightly creeped out, he and Delia begin to leave and get stuck in ""treacherous"" fog and have to pull over and camp out for the night. The rest of the movie has to do with voodoo dolls, black cats transforming into sexy women, Satanic rituals performed by ladies in their bras and a deadly fall off a cliff. And yeah, coincidentally Carla the estranged wife turns out to be one of the witches, too. It all takes place in semi-darkness and to be quite honest, I didn't know what the hell was going on most of the time. The inconclusive ""open"" ending is just an additional slap in the face to anyone having to suffer through the rest of this senseless mess.<br /><br />Honestly, there are just a few things that stand out to me as being really good. The first is actress Shepard, who has that great Barbara Steele kind of dark, mysterious beauty. There's also an excellent music score (credited to Fernando Garcia Morcillo) and chanting songs, which aided immensely in making this film as atmospheric as it is. The location work is fairly decent, but as I said, the print is ugly as can be and it doesn't make a lick of sense, so proceed with caution on this one.",0
"Street Fight is a brilliant piece of brutal satire. This is not a movie you just watch for fun. It is not a comfortable experience, although it does have some laugh-out-loud moments. This is a movie you watch when you need food for thought.<br /><br />To dismiss this film as simply racist is to miss the point entirely. This is not only a satire of Song of the South, it's also a biting commentary on the prejudices that Americans still have as a society. Every ethnic group portrayed in the movie gets shown as grotesque caricatures of their stereotypes, which in turn are grotesque caricatures of real people. Through this wild exaggeration, the filmmaker shows just how absurd these tightly-held beliefs really are.<br /><br />If you're the sort of person who's willing to acknowledge the ugliness of the prevalent prejudices American culture still holds, and if you're not afraid to look your own prejudices in the eye, this movie may be for you.",1
"This was Gene Kelly's breakthrough, and that alone makes it memorable. Throw in Rita Hayworth as his love interest and comedian Phil Silvers of all people as his sidekick and you have the ingredients for a real crowd pleaser, which is exactly how it turned out.<br /><br />Kelly plays Danny McGuire, a nightclub owner in Brooklyn (Brooklyn is always the ""wrong side of the tracks"" in '40s films) whose star attraction and love interest is Rusty Parker (Rita Hayworth). Rita is lovely, and even plays a dual role as Rusty and Rusty's grandmother. Rusty has a chance at the big time through the machinations of John Coudair (Otto Kruger), who romanced and lost Rusty's grandmother.<br /><br />The plot revolves around Danny cutting Rusty loose, to the detriment of his club, because she has a chance at success that he can't give her. But, naturally, that's not what Rusty ultimately wants, because, as usual in films of that time, the right guy is the only thing on the girl's mind. There are no surprises, but everybody does their thing well.<br /><br />Kelly does the first of his amazing trick dances, this time with himself as a reflection from a glass window. He was the master at that sort of dance, and one still has to wonder how they timed everything so precisely so that he really does seem to be in two places at once. The melodrama gets a bit thick, and there are some gratuitous war references thrown in that do little but provide the opportunity for a song or two, but Kelly takes this film to the next level. This was before he became a mega-star and too smooth perhaps for his own good. An underlying edge of rawness to his character lends it a believable and almost wistful air.<br /><br />Kelly's character in the 1980 ""Xanadu"" also was named Danny McGuire. This film was the beginning, that film the end, of a terrific run for a dancing genius. Clearly, this film meant a lot to him. Highly recommended.",1
"Cosimo (Luis Guzman) ends up in prison for car burglary and there he's given the plan for the perfect heist from a lifer in prison; so he has to get out of jail, fast. He tells his girlfriend Rosalind (Patricia Clarkson) to find a man who will do his time in prison for some money. But no one wants to do the time for Cosimo's crime and yet everybody seems to know a guy who will do that. Soon bad boxer Pero Mahalovic (Sam Rockwell) founds out the details of this so called ""perfect job"".<br /><br />First of all, I think this movie was very funny and from my point of view I would recommend it to everyone. This movie is remake of Italian comedy ""I Soliti Ignoti"". I didn't watch the Italian original so I cannot judge or compare those two movies. But ""Welcome to Collinwood"" is great comedy for itself, about four people trying to rob the money from the vault in one house. Everyone gave their part of brilliance from this movie cast. Really excellent movie for these actors: Sam Rockwell, William H. Macy (great), Isaiah Washington, Michael Jeter (great), Luis Guzmán, Patricia Clarkson, Jennifer Esposito and finally George Clooney gave their share in this project. <br /><br />Maybe to say that this movie is only comedy, isn't fair. This is more then that. Because of one difference. All of thieves in this movie have very small wishes when they are asked: what will they do with their money? It is mostly securing their future in very humble way. This fact goes beyond comedy into the soul of that criminals. And not only them but also cop Babitch, who is presented like corrupted one; so here directors Russo presents us fact that criminals and cop are the same. Actually all in Collinwood are; and not only in Collinwood, cause all people chase money, on legal or illegal way. I don't like all movies were audience eventually likes and cheers for thieves. But, this one is exception. You have to love them all. Riley with his little baby and wife in jail. Toto with his pants. Cosimo with his line: ""Your mother's a whore!"" and all others. They are just like characters in my favorite comic, Alan Ford. They all trying to make some money, but simply they are out of luck. But they all did one good deed: they gave money to Riley, so he can get his wife out of prison. They are all heroes in my eyes, cause lots of ""honest"" people wouldn't do that.",1
"Killjoy 2 surpasses the first movie by just a little bit.The stuff that improved in here was the acting,the Killjoy make-up,and story.This one is more of a gore fest,it doesnt have the supernatural elements like the first one did.In this installment,Killjoy kills his victims in more normal ways,he doest set them on fire,and he doesnt shoot them with bullets that were in his mouth.The only thing I didnt like about this movie,was that the ending was a little half assed,in fact it was half assed,they killed Killjoy in a very cheap way.I would strongly recommend this to anyone who like horror movies.Seriously,the first movie was good,but the second is better.9 out of 10.",0
"Canadians are too polite to boo but the audience at the Toronto Film Festival left the theater muttering that they would rate this film 0 or 1 on their voting sheets. The premise is that a modern filmmaker is interpreting a 17th century fable about the loves of shepherds and shepherdesses set in the distant past when Druids were the spiritual leaders. Working in three epochs presents many opportunities to introduce anachronisms including silly and impractical clothing and peculiar spiritual rites that involve really bad poetry. Lovers are divided by jealousy and their rigid adherence to idiotic codes of conduct from which cross-dressing and assorted farcical situations arise. The film could have been hilarious as a Monty Python piece, which it too closely resembles, but Rohmer's effort falls very flat. The audience laughed at the sight jokes but otherwise bemoaned the slow pace. The ending comes all in a rush and is truly awful. This is a trivial film and a waste of your movie going time.",0
